element	element-content-type	element-content	attribute	attribute-content
div	elements	|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|	org	uniform
div	elements	|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|	sample	complete
div	elements	|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|	part	N
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02779a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02779a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02779a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02779a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02780a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02780a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02780a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02780a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02781a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02781a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02781a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02781a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02782a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02782a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02782a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02782a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02783a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02783a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02783a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02783a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02784a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02784a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02784a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02784a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02785a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02785a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02785a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02785a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02786a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02786a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02786a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02786a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02787a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02787a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02787a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02787a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02788a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02788a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02788a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 5/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02788a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02789a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02789a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02789a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02789a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02790a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02790a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02790a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 6/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02790a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02791a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02791a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02791a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02791a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02792a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02792a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02792a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 7/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02792a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02793a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02793a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02793a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02793a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02794a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02794a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02794a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 8/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02794a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02795a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02795a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02795a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02795a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02796a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02796a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02796a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 9/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02796a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02797a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02797a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02797a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02797a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02798a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02798a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02798a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 10/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02798a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02799a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02799a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02799a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02799a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02800a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02800a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02800a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 11/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02800a
div	elements	|listBibl||p|	type	bibliography
div	elements	|listBibl||p|	subtype	citations
div	elements	|listBibl||p|	org	uniform
div	elements	|listBibl||p|	sample	complete
div	elements	|listBibl||p|	part	N
listBibl	elements	|bibl||bibl|	default	false
bibl	text	P.Tebt., I.231	default	false
bibl	text	P.Tebt.:1:231	type	ddbdp
bibl	text	P.Tebt.:1:231	default	false
p	mixed	<<ref>>.		
ref	text	Original record	target	http://sunsite.berkeley.edu/cgi-bin/apisdb/record/1219
listBibl	elements	|bibl||bibl|	default	false
bibl	text	P.Tebt., I.231	default	false
bibl	text	P.Tebt.:1:231	type	ddbdp
bibl	text	P.Tebt.:1:231	default	false
bibl	text	P.Tebt., I.231	default	false
bibl	text	P.Tebt.:1:231	type	ddbdp
bibl	text	P.Tebt.:1:231	default	false
p	mixed	<<ref>>.		
ref	text	Original record	target	http://sunsite.berkeley.edu/cgi-bin/apisdb/record/1219
ref	text	Original record	target	http://sunsite.berkeley.edu/cgi-bin/apisdb/record/1219
div	elements	|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|	type	figure
div	elements	|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|	org	uniform
div	elements	|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|	sample	complete
div	elements	|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|	part	N
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02779a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02779a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02779a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02779a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02780a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02780a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02780a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 1/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02780a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02781a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02781a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02781a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02781a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02782a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02782a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02782a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 2/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02782a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02783a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Recto		
figDesc	text	recto 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02783a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Recto		
figDesc	text	recto 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02783a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Recto		
figDesc	text	recto 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02783a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Verso		
figDesc	text	verso thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02784a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Verso		
figDesc	text	verso 75 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP02784a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Verso		
figDesc	text	verso 150 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP02784a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 3/11 Verso		
figDesc	text	verso 300 dpi		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP02784a
figure	elements	|figDesc||graphic||head|		
head	text	Frame 4/11 Recto		
figDesc	text	recto thumbnail		
graphic	empty		url	http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP02785a
figure	elements	|figDesc||graphic||head|		
